Address,Postcode,Coordinates
"3 Carrog Road, Penlan",SA5 7AL," 51.648185999999995,  -3.9570578"
"Unit 5, Aldridge Fields Business Park, Middlemore Lane West, Aldridge",WS9 8AE," 52.601943999999996,  -1.9434121999999998"
"14A Beechwood Green, Liverpool",L19 0LU," 53.3593418,  -2.9165533"
"7 Chaffinch Close, Clipstone Village",NG21 9GT," 53.1697564,  -1.1242820999999998"
"42 Long Compton Drive, Hagley",DY9 0PD," 52.4237174,  -2.1448666999999997"
"2 Hartswood, North Holmwood",RH5 4TJ," 51.2166418,  -0.3181924"
"72 Chapel Street, Bedworth",CV12 8PZ," 52.4816964,  -1.4690919999999998"
"4 Melinda Cottages, High Street, East Runton",NR27 9NS," 52.93579880000001,  1.2707674"
"21 Marians Walk, Berry Hill",GL16 8QW," 51.808852200000004,  -2.6231955"
"10 Cloisterham Road, Rochester",ME1 2BW," 51.361050600000006,  0.5088867"
"28 Railway Road, Downham Market",PE38 9EB," 52.603247,  0.36862259999999997"
"6 Limebank, Flordon Road, Newton Flotman",NR15 1PG," 52.5316577,  1.2454987"
"55 Fullwell Avenue, Ilford",IG6 2HE," 51.5941817,  0.0811943"
"38 Barrow Street, Much Wenlock",TF13 6ET," 52.5945689,  -2.5546186"
"Hazeldene, Clacton Road, Weeley Heath",CO16 9DR," 51.8438272,  1.1250584"
"19 Upper Gordon Road, Highcliffe",BH23 5ND," 50.746157499999995,  -1.6976459"
"6 Village Way, London",SE21 7AW," 51.5578392,  -0.2539635"
"6 Boxwood Grove, West End",GU24 9BP," 51.3347579,  -0.6340397999999999"
"63 Woodfield Way, London",N11 2NR," 51.605736699999994,  -0.1269283"
"Cefnperfedd Uchaf, Maesmynis",LD2 3HU," None,  None"
"1 Oldnall Close, Stourbridge",DY9 8XH," 52.450778,  -2.1052763999999997"
"7 Waterhouse Gardens, Barton Seagrave",NN15 5TU," 52.387060399999996,  -0.6917628000000001"
"Ivydene House, Hill Top, Barlby",YO8 5JQ," 53.79686960000001,  -1.0436898"
"43 Main Street, Asfordby",LE14 3RZ," 52.7642907,  -0.9484199"
"38 Barnes High Street, London",SW13 9LN," 51.473627199999996,  -0.25093"
"5 Windmill Way North, Ramparts Business Park",TD15 1TA," 55.7908937,  -2.0186253"
"14 - 18 Horse Fair, Birmingham",B1 1DB," 53.6931843,  -1.3071567"
"20 Church Street, Brierley Hill",DY5 3QD," 52.4778034,  -2.1275451"
"62 Witherford Croft, Solihull",B91 1UA," 52.406829699999996,  -1.8111168999999998"
"23 Turnpike Lane, Uxbridge",UB10 0AH," 51.5352448,  -0.47178239999999994"
"Cwm Farm, Peniel Green Road, Peniel Green",SA7 9AY," 51.661439300000005,  -3.8899076999999993"
"4 Sheraton Drive, Epsom",KT19 8JL," 51.3350605,  -0.2734357"
"Unit 4, Lodge Bank, Crown Lane, Horwich",BL6 5HY," 53.5944126,  -2.5651733"
"40 Holyhead Road, Birmingham",B21 0LS," 52.5063326,  -1.9474711000000002"
"Brundon, The Street, Kilmington",EX13 7SJ," 10.785167500000002,  106.69880789999999"
"3A Bolton Road, Ashton In Makerfield",WN4 8AA," 53.4882068,  -2.6361773"
"1 Mansfield House, Mansfield Road, Ilford",IG1 3AZ," 51.5628318,  0.0667233"
"13 The Avenue, Sheringham",NR26 8DG," 52.9430267,  1.2168961"
"The Hedgerows, Hall Road, Elsenham",CM22 6DN," 51.906465999999995,  0.2519141"
"27 High Farm Road, Hasbury",B63 4JQ," 52.4462725,  -2.0654439"
"Alana Moorings, Manna Road, Bembridge",PO35 5UZ," 50.6867653,  -1.0884706"
"14 Red Cedar Close, Wynyard",TS22 5TL," 54.6436697,  -1.3633217"
"57 R L Stevenson Avenue, Bournemouth",BH4 8ED," 50.720869199999996,  -1.9037227999999997"
"Spindlewood, Colleton",EX18 7JR," None,  None"
"2 Clover Drive, Withernsea",HU19 2DF," 53.726996899999996,  0.026867199999999997"
"96 Main Street, Swanland",HU14 3QR," 53.7408432,  -0.4851204999999999"
"28 Albemarle Way, Cambridge",CB4 2SR," 52.2294017,  0.12338610000000001"
"24 Griffin Lane, Shirley",B90 1TS," 52.3822322,  -1.8356841000000002"
"3 West Green, Ulverston",LA12 0UP," 54.1742311,  -3.1224644"
"11 Keyford Place, Frome",BA11 1JE," 51.227269299999996,  -2.3212946999999997"
"11 Hayling Road, Watford",WD19 7BL," 51.63015970000001,  -0.3888816"
"10 Dierdens Terrace, Middlewich",CW10 9AL," 53.1922867,  -2.446406"
"8 Errol Avenue, Higher Blackley",M9 0PF," -27.8890259,  153.3962804"
"Flat 4, St Martins House, St Martins Avenue, Hereford",HR2 7RQ," 52.0507667,  -2.7177039"
